Fecha,PedidoID,ProductoID,Producto,Categoria,Cantidad,PrecioUnitario,CostoUnitario,Descuento,Canal,Ciudad,VentaBruta,MontoDescuento,VentaNeta,CostoTotal,Utilidad,Anio,Mes,Dia,DiaSemana,Semana,StockActual,StockMinimo,LeadTimeDias,Proveedor,FechaUltimaCompra
2026-03-25,PED013,PROD01,Producto A,Categoría 1,6,80,45,0.1,Web,Lima,480,48.0,432.0,270,162.0,2026,3,25,Wednesday,13,120,30,7,Proveedor A,2026-08-10
2026-04-02,PED014,PROD06,Producto F,Categoría 3,5,95,52,0.05,App,Chimbote,475,23.75,451.25,260,191.25,2026,4,2,Thursday,14,14,20,8,Proveedor F,2026-08-01
2026-04-08,PED015,PROD07,Producto G,Categoría 4,4,150,90,0.12,Tienda,Trujillo,600,72.0,528.0,360,168.0,2026,4,8,Wednesday,15,27,10,12,Proveedor G,2026-07-30
2026-04-15,PED016,PROD03,Producto C,Categoría 2,7,55,30,0.0,Web,Lima,385,0.0,385.0,210,175.0,2026,4,15,Wednesday,16,18,25,5,Proveedor C,2026-08-12
2026-04-22,PED017,PROD05,Producto E,Categoría 3,9,35,18,0.08,Tienda,Santa,315,25.2,289.8,162,127.80000000000001,2026,4,22,Wednesday,17,80,25,6,Proveedor E,2026-08-15
2026-04-29,PED018,PROD02,Producto B,Categoría 1,5,120,70,0.05,App,Lima,600,30.0,570.0,350,220.0,2026,4,29,Wednesday,18,45,20,10,Proveedor B,2026-08-05
2026-05-05,PED019,PROD04,Producto D,Categoría 2,3,200,125,0.15,Web,Chimbote,600,90.0,510.0,375,135.0,2026,5,5,Tuesday,19,32,15,14,Proveedor D,2026-07-28
2026-05-12,PED020,PROD01,Producto A,Categoría 1,8,80,45,0.1,Tienda,Lima,640,64.0,576.0,360,216.0,2026,5,12,Tuesday,20,120,30,7,Proveedor A,2026-08-10
2026-05-19,PED021,PROD06,Producto F,Categoría 3,6,95,52,0.05,Web,Trujillo,570,28.5,541.5,312,229.5,2026,5,19,Tuesday,21,14,20,8,Proveedor F,2026-08-01
2026-05-26,PED022,PROD03,Producto C,Categoría 2,10,55,30,0.0,App,Lima,550,0.0,550.0,300,250.0,2026,5,26,Tuesday,22,18,25,5,Proveedor C,2026-08-12
2026-06-02,PED023,PROD07,Producto G,Categoría 4,2,150,90,0.12,Web,Santa,300,36.0,264.0,180,84.0,2026,6,2,Tuesday,23,27,10,12,Proveedor G,2026-07-30
2026-06-09,PED024,PROD05,Producto E,Categoría 3,15,35,18,0.08,Tienda,Chimbote,525,42.0,483.0,270,213.0,2026,6,9,Tuesday,24,80,25,6,Proveedor E,2026-08-15
2026-06-16,PED025,PROD02,Producto B,Categoría 1,4,120,70,0.05,App,Trujillo,480,24.0,456.0,280,176.0,2026,6,16,Tuesday,25,45,20,10,Proveedor B,2026-08-05
2026-06-23,PED026,PROD04,Producto D,Categoría 2,6,200,125,0.15,Web,Lima,1200,180.0,1020.0,750,270.0,2026,6,23,Tuesday,26,32,15,14,Proveedor D,2026-07-28
2026-06-30,PED027,PROD01,Producto A,Categoría 1,9,80,45,0.1,App,Santa,720,72.0,648.0,405,243.0,2026,6,30,Tuesday,27,120,30,7,Proveedor A,2026-08-10
2026-07-07,PED028,PROD06,Producto F,Categoría 3,3,95,52,0.05,Tienda,Lima,285,14.25,270.75,156,114.75,2026,7,7,Tuesday,28,14,20,8,Proveedor F,2026-08-01
