ProductoID,Anio,Semana,CantidadVendida,VentaNeta,PrecioPromedio,Utilidad,StockActual,LeadTimeDias,Lag1,Lag2,Lag3,PromedioMovil4,DemandaProximaSemana,DemandaPredicha,ErrorAbsoluto,RiesgoStock,CantidadSugeridaCompra,StockSeguridad,CompraRecomendada
PROD025,2026.0,5,57.0,7567.124,138.54647058823528,3772.894,59.0,8.0,60.0,57.0,59.0,53.0,62.0,55.28290475537298,6.717095244627018,NORMAL,0.0,11.056580951074597,7.339485706447576
PROD025,2026.0,6,62.0,7776.3115,138.0795238095238,3717.1515,59.0,8.0,57.0,60.0,57.0,58.25,71.0,62.04874335211044,8.951256647889558,ALTO,3.048743352110442,12.40974867042209,15.458492022532539
PROD025,2026.0,7,71.0,8712.9975,137.10130434782607,4015.3575,59.0,8.0,62.0,57.0,60.0,59.0,72.0,64.81288334107022,7.1871166589297815,ALTO,5.8128833410702185,12.962576668214044,18.77546000928426
PROD025,2026.0,8,72.0,9047.4815,138.1604347826087,4292.0715,59.0,8.0,71.0,62.0,57.0,62.5,62.0,65.13019550400676,3.130195504006764,ALTO,6.130195504006764,13.026039100801354,19.15623460480812
PROD025,2026.0,9,62.0,7921.263,136.4470588235294,3828.093,59.0,8.0,72.0,71.0,62.0,65.5,56.0,58.183845215157014,2.183845215157014,NORMAL,0.0,11.636769043031403,10.820614258188414
PROD025,2026.0,10,56.0,7203.95,137.555,3499.0099999999998,59.0,8.0,62.0,72.0,71.0,66.75,57.0,51.90386514966291,5.096134850337087,NORMAL,0.0,10.380773029932584,3.284638179595497
PROD025,2026.0,11,57.0,7531.115,138.07470588235293,3786.825,59.0,8.0,56.0,62.0,72.0,65.25,56.0,54.5765770468458,1.4234229531542013,NORMAL,0.0,10.91531540936916,6.491892456214956
PROD025,2026.0,12,56.0,7250.966,138.00944444444445,3514.886,59.0,8.0,57.0,56.0,62.0,61.75,56.0,52.15994278036555,3.8400572196344527,NORMAL,0.0,10.43198855607311,3.5919313364386554
PROD025,2026.0,13,56.0,7302.545,136.96866666666665,3618.535,59.0,8.0,56.0,57.0,56.0,57.75,55.0,53.80757858549435,1.1924214145056524,NORMAL,0.0,10.76151571709887,5.569094302593214
PROD025,2026.0,14,55.0,7115.8665,136.68111111111114,3464.0565,59.0,8.0,56.0,56.0,57.0,56.25,58.0,51.804287821491215,6.195712178508785,NORMAL,0.0,10.360857564298243,3.165145385789458
PROD025,2026.0,15,58.0,7540.9725,137.22449999999998,3701.6825,59.0,8.0,55.0,56.0,56.0,56.0,59.0,58.786157178876095,0.21384282112390451,NORMAL,0.0,11.75723143577522,11.54338861465132
PROD025,2026.0,16,59.0,7556.1425,136.2863157894737,3689.8224999999998,59.0,8.0,58.0,55.0,56.0,56.25,57.0,59.0409396957744,2.040939695774398,ALTO,0.04093969577439793,11.80818793915488,11.849127634929275
PROD025,2026.0,17,57.0,7493.166,138.27933333333334,3731.926,59.0,8.0,59.0,58.0,55.0,57.0,65.0,54.46425246869032,10.535747531309681,NORMAL,0.0,10.892850493738065,6.357102962428385
PROD025,2026.0,18,65.0,7738.5505,136.62333333333333,3442.0505,59.0,8.0,57.0,59.0,58.0,57.25,73.0,63.226587301969566,9.773412698030434,ALTO,4.226587301969566,12.645317460393914,16.871904762363485
PROD025,2026.0,19,73.0,8983.757,136.94333333333333,4132.037,59.0,8.0,65.0,57.0,59.0,59.75,72.0,64.60143797912423,7.398562020875772,ALTO,5.601437979124228,12.920287595824846,18.521725574949073
PROD025,2026.0,20,72.0,8980.3545,137.7057894736842,4238.9345,59.0,8.0,73.0,65.0,57.0,63.5,63.0,63.79484065651219,0.7948406565121928,ALTO,4.794840656512193,12.758968131302439,17.55380878781463
PROD025,2026.0,21,63.0,8230.239,137.34772727272727,4059.7389999999996,59.0,8.0,72.0,73.0,65.0,66.75,63.0,58.29388297544477,4.706117024555233,NORMAL,0.0,11.658776595088954,10.952659570533726
PROD025,2026.0,22,63.0,8355.9635,137.79857142857142,4243.7935,59.0,8.0,63.0,72.0,73.0,68.25,65.0,58.412408489658496,6.587591510341504,NORMAL,0.0,11.6824816979317,11.094890187590195
PROD025,2026.0,23,65.0,8328.2125,136.0125,3986.8925,59.0,8.0,63.0,63.0,72.0,67.75,61.0,61.09166894494201,0.09166894494200761,ALTO,2.0916689449420076,12.218333788988403,14.310002733930418
PROD025,2026.0,24,61.0,7900.1050000000005,137.91166666666666,3888.5150000000003,59.0,8.0,65.0,63.0,63.0,65.75,64.0,58.925352480904984,5.074647519095016,NORMAL,0.0,11.785070496180998,11.710422977085983
PROD025,2026.0,25,64.0,8292.6055,136.785,3993.6155,59.0,8.0,61.0,65.0,63.0,63.0,58.0,62.5302230931793,4.530223093179302,ALTO,3.530223093179302,12.506044618635862,16.036267711815157
PROD025,2026.0,26,58.0,7470.2415,137.98411764705884,3640.1915,59.0,8.0,64.0,61.0,65.0,63.25,59.0,56.191173164128344,2.808826835871656,NORMAL,0.0,11.23823463282567,8.42940779695401
PROD025,2026.0,27,59.0,7714.0005,137.93526315789472,3796.5105,59.0,8.0,58.0,64.0,61.0,62.0,62.0,58.118234168918754,3.881765831081246,NORMAL,0.0,11.623646833783752,10.741881002702513
PROD025,2026.0,28,62.0,7901.1404999999995,138.61875,3845.6605,59.0,8.0,59.0,58.0,64.0,60.5,65.0,61.649528250385934,3.3504717496140657,ALTO,2.6495282503859343,12.329905650077187,14.979433900463121
PROD025,2026.0,29,65.0,8467.5245,137.0982608695652,4161.7945,59.0,8.0,62.0,59.0,58.0,60.75,71.0,63.514430636298606,7.485569363701394,ALTO,4.514430636298606,12.702886127259722,17.21731676355833
PROD025,2026.0,30,71.0,9188.4315,136.59714285714284,4474.5915,59.0,8.0,65.0,62.0,59.0,61.0,69.0,65.55156989350614,3.448430106493859,ALTO,6.551569893506141,13.110313978701228,19.66188387220737
PROD025,2026.0,31,69.0,8882.19,137.786,4304.87,59.0,8.0,71.0,65.0,62.0,64.25,65.0,64.06683784113821,0.9331621588617907,ALTO,5.066837841138209,12.813367568227642,17.880205409365857
PROD025,2026.0,32,65.0,8399.704,138.2617391304348,4095.2740000000003,59.0,8.0,69.0,71.0,65.0,66.75,49.0,59.33798457700223,10.337984577002231,ALTO,0.3379845770022314,11.867596915400448,12.205581492402672
PROD026,2026.0,5,31.0,2066.31,70.5925,1060.38,35.0,6.0,31.0,38.0,42.0,37.25,40.0,32.89063515870985,7.109364841290152,NORMAL,0.0,6.57812703174197,4.4687621904518195
PROD026,2026.0,6,40.0,2610.9505,72.22636363636364,1297.3405,35.0,6.0,31.0,31.0,38.0,35.5,46.0,42.23631421766555,3.7636857823344485,ALTO,7.2363142176655515,8.44726284353311,15.683577061198662
PROD026,2026.0,7,46.0,2947.709,72.15,1463.569,35.0,6.0,40.0,31.0,31.0,35.0,55.0,47.079116141168775,7.920883858831225,ALTO,12.079116141168775,9.415823228233755,21.49493936940253
PROD026,2026.0,8,55.0,3470.1785,70.7955,1671.7085000000002,35.0,6.0,46.0,40.0,31.0,37.0,54.0,50.41443660071688,3.5855633992831173,ALTO,15.414436600716883,10.082887320143378,25.49732392086026
PROD026,2026.0,9,54.0,3682.05,71.72294117647058,1933.55,35.0,6.0,55.0,46.0,40.0,43.0,53.0,50.10388617094368,2.8961138290563184,ALTO,15.103886170943682,10.020777234188737,25.124663405132416
PROD026,2026.0,10,53.0,3675.45,72.534,1941.11,35.0,6.0,54.0,55.0,46.0,48.75,49.0,50.218362655271555,1.2183626552715552,ALTO,15.218362655271555,10.043672531054312,25.262035186325868
PROD026,2026.0,11,49.0,3371.8900000000003,72.20333333333333,1767.64,35.0,6.0,53.0,54.0,55.0,52.0,43.0,49.89593927566964,6.89593927566964,ALTO,14.89593927566964,9.97918785513393,24.87512713080357
PROD026,2026.0,12,43.0,2933.1155,71.93846153846154,1531.6055,35.0,6.0,49.0,53.0,54.0,52.75,44.0,44.324688542938546,0.32468854293854577,ALTO,9.324688542938546,8.864937708587709,18.189626251526256
PROD026,2026.0,13,44.0,2974.441,71.0370588235294,1549.071,35.0,6.0,43.0,49.0,53.0,49.75,40.0,48.06045026755437,8.060450267554373,ALTO,13.060450267554373,9.612090053510876,22.67254032106525
PROD026,2026.0,14,40.0,2783.7290000000003,72.16333333333334,1497.5990000000002,35.0,6.0,44.0,43.0,49.0,47.25,44.0,43.22188268275593,0.7781173172440674,ALTO,8.221882682755933,8.644376536551187,16.866259219307118
PROD026,2026.0,15,44.0,3039.9135,71.36615384615385,1631.2135,35.0,6.0,40.0,44.0,43.0,44.0,42.0,47.71732051821874,5.717320518218742,ALTO,12.717320518218742,9.543464103643748,22.26078462186249
PROD026,2026.0,16,42.0,2944.274,72.24153846153845,1587.904,35.0,6.0,44.0,40.0,44.0,42.75,43.0,43.3872595591543,0.38725955915430177,ALTO,8.387259559154302,8.677451911830861,17.06471147098516
PROD026,2026.0,17,43.0,2996.054,72.56928571428571,1616.884,35.0,6.0,42.0,44.0,40.0,42.5,50.0,45.960125217375214,4.039874782624786,ALTO,10.960125217375214,9.192025043475043,20.152150260850256
PROD026,2026.0,18,50.0,3211.214,71.1925,1577.0639999999999,35.0,6.0,43.0,42.0,44.0,42.25,53.0,48.81446789839386,4.185532101606142,ALTO,13.814467898393858,9.762893579678773,23.577361478072632
PROD026,2026.0,19,53.0,3462.634,71.44681818181817,1749.964,35.0,6.0,50.0,43.0,42.0,44.75,55.0,50.35846728637967,4.641532713620329,ALTO,15.358467286379671,10.071693457275934,25.430160743655605
PROD026,2026.0,20,55.0,3534.385,71.68571428571428,1746.615,35.0,6.0,53.0,50.0,43.0,47.0,53.0,50.39273877329514,2.607261226704857,ALTO,15.392738773295143,10.078547754659029,25.47128652795417
PROD026,2026.0,21,53.0,3744.964,71.98235294117647,2027.334,35.0,6.0,55.0,53.0,50.0,50.25,52.0,50.80327089761818,1.1967291023818234,ALTO,15.803270897618177,10.160654179523636,25.96392507714181
PROD026,2026.0,22,52.0,3668.927,72.900625,1973.097,35.0,6.0,53.0,55.0,53.0,52.75,52.0,51.284753346618345,0.715246653381655,ALTO,16.284753346618345,10.25695066932367,26.541704015942017
PROD026,2026.0,23,52.0,3561.8395,72.009375,1891.3795,35.0,6.0,52.0,53.0,55.0,53.25,52.0,51.835201708441694,0.16479829155830572,ALTO,16.835201708441694,10.36704034168834,27.20224205013003
PROD026,2026.0,24,52.0,3566.692,72.19470588235293,1858.912,35.0,6.0,52.0,52.0,53.0,53.0,48.0,51.57733975095475,3.5773397509547493,ALTO,16.57733975095475,10.31546795019095,26.8928077011457
PROD026,2026.0,25,48.0,3225.9339999999997,72.22833333333332,1651.374,35.0,6.0,52.0,52.0,52.0,52.25,47.0,49.70884772575194,2.708847725751937,ALTO,14.708847725751937,9.941769545150388,24.650617270902323
PROD026,2026.0,26,47.0,3250.2755,72.998,1726.0455000000002,35.0,6.0,48.0,52.0,52.0,51.0,42.0,49.01980063960646,7.0198006396064585,ALTO,14.019800639606459,9.803960127921293,23.82376076752775
PROD026,2026.0,27,42.0,2960.891,73.02083333333333,1592.2209999999998,35.0,6.0,47.0,48.0,52.0,49.75,44.0,42.17344838421813,1.8265516157818666,ALTO,7.173448384218133,8.434689676843627,15.608138061061759
PROD026,2026.0,28,44.0,3016.977,72.214,1577.757,35.0,6.0,42.0,47.0,48.0,47.25,43.0,48.201988118592226,5.201988118592226,ALTO,13.201988118592226,9.640397623718446,22.842385742310668
PROD026,2026.0,29,43.0,2892.0945,71.635,1483.8845000000001,35.0,6.0,44.0,42.0,47.0,45.25,55.0,45.30973334998335,9.690266650016653,ALTO,10.309733349983347,9.06194666999667,19.37168001998002
PROD026,2026.0,30,55.0,3797.3285,71.6845,2005.4285,35.0,6.0,43.0,44.0,42.0,44.0,58.0,54.28967952328712,3.71032047671288,ALTO,19.28967952328712,10.857935904657424,30.147615427944544
PROD026,2026.0,31,58.0,3959.0245,71.91833333333334,2079.0945,35.0,6.0,55.0,43.0,44.0,46.0,62.0,53.506802267923234,8.493197732076766,ALTO,18.506802267923234,10.701360453584648,29.208162721507875
PROD026,2026.0,32,62.0,4284.034,72.26681818181818,2253.9139999999998,35.0,6.0,58.0,55.0,43.0,50.0,60.0,59.757577875827884,0.24242212417211562,ALTO,24.757577875827884,11.951515575165578,36.709093450993464
PROD027,2026.0,5,47.0,6753.4055,151.496,2444.8555,61.0,8.0,44.0,44.0,46.0,42.75,55.0,48.946319414463524,6.053680585536476,NORMAL,0.0,9.789263882892705,0.0
PROD027,2026.0,6,55.0,7706.959,153.284375,2700.9990000000003,61.0,8.0,47.0,44.0,44.0,45.25,60.0,52.54571068641264,7.45428931358736,NORMAL,0.0,10.509142137282529,2.054852823695171
PROD027,2026.0,7,60.0,8243.111,150.13277777777776,2814.011,61.0,8.0,55.0,47.0,44.0,47.5,65.0,62.7320120511355,2.2679879488645014,ALTO,1.7320120511354986,12.5464024102271,14.278414461362601
PROD027,2026.0,8,65.0,8862.4965,150.9257894736842,2937.1465,61.0,8.0,60.0,55.0,47.0,51.5,56.0,65.17308500937494,9.173085009374944,ALTO,4.173085009374944,13.03461700187499,17.207702011249935
PROD027,2026.0,9,56.0,8035.6435,151.36714285714285,2959.7535000000003,61.0,8.0,65.0,60.0,55.0,56.75,53.0,53.26642200290696,0.26642200290695683,NORMAL,0.0,10.653284400581391,2.919706403488348
PROD027,2026.0,10,53.0,7356.268,151.9858823529412,2529.138,61.0,8.0,56.0,65.0,60.0,59.0,47.0,50.212845889157315,3.2128458891573146,NORMAL,0.0,10.042569177831464,0.0
PROD027,2026.0,11,47.0,6791.7919999999995,150.55133333333333,2508.172,61.0,8.0,53.0,56.0,65.0,58.5,50.0,45.48674040774041,4.513259592259587,NORMAL,0.0,9.097348081548082,0.0
PROD027,2026.0,12,50.0,7079.6805,151.484,2555.4705000000004,61.0,8.0,47.0,53.0,56.0,55.25,50.0,48.983696721812095,1.0163032781879053,NORMAL,0.0,9.79673934436242,0.0
PROD027,2026.0,13,50.0,7212.511,150.32999999999998,2692.351,61.0,8.0,50.0,47.0,53.0,51.5,49.0,48.813648097589834,0.1863519024101663,NORMAL,0.0,9.762729619517968,0.0
PROD027,2026.0,14,49.0,6827.823,151.1775,2344.8030000000003,61.0,8.0,50.0,50.0,47.0,50.0,87.0,48.172201106438266,38.827798893561734,NORMAL,0.0,9.634440221287655,0.0
PROD027,2026.0,15,87.0,12410.8485,149.95277777777778,4489.3085,61.0,8.0,49.0,50.0,50.0,49.0,61.0,60.47614301276066,0.5238569872393413,NORMAL,0.0,12.095228602552133,11.571371615312785
PROD027,2026.0,16,61.0,8846.3335,152.61111111111111,3291.8135,61.0,8.0,87.0,49.0,50.0,59.0,55.0,64.86033702140936,9.860337021409364,ALTO,3.8603370214093644,12.972067404281873,16.832404425691237
PROD027,2026.0,17,55.0,8027.8945,151.94785714285715,3054.5645000000004,61.0,8.0,61.0,87.0,49.0,61.75,62.0,51.045785778639896,10.954214221360104,NORMAL,0.0,10.20915715572798,0.2549429343678753
PROD027,2026.0,18,62.0,8529.736499999999,152.3709523809524,2842.7465,61.0,8.0,55.0,61.0,87.0,63.0,64.0,62.7421191661843,1.2578808338156975,ALTO,1.7421191661843025,12.54842383323686,14.290542999421163
